Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
42 U.S.C. § 5143(a)-(b),Stafford Act,President will appoint a Federal coordinating officer when declaring major disaster or emergency,Stafford Act,Executive Office of the President of the United States,Presidential Major Disaster Declaration,Major disaster declaration,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,"Attaches localities to the ""administration of relief"" and allows the executive branch to ""take other action"" that is ""necessary to assist local citizens and public officials in promptly obtaining assistance to which they are entitled.""",No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5143 (c)-(d),Stafford Act,Allows President to either request that governor of affected state provide state coordinating officer or appoint single federal coordinating officer for multi-state area,Stafford Act,Executive Office of the President of the United States,"Presidential Major Disaster Declaration,Presidential Emergency Declarations",Major disaster or emergency,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Connects affected areas to State and local disaster assistance efforts,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5144,Stafford Act,Requires President to form emergency support teams of federal personnel to be deployed in area affected by major disaster or emergency,Stafford Act,"Federal Emergency Management Agency,Executive Office of the President of the United States","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Major disaster or emergency,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,"Provides federal agency support ""on either a reimbursable or non reimbursable basis""",No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42. U.S.C. § 5149,Stafford Act,Any federal agency is authorized to accept and utilize state/local government facilities with their consent; they are also able to appoint temporary personnel ,Stafford Act,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency,Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Major disaster or emergency,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,FEMA administrator allowed to appoint temporary personnel to FEMA after they have served continuously for three years,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. §  5150,Stafford Act,"Enables the government to contract with private entities, with a preference for local organizations",Stafford Act,Broadly applies to any relevant federal agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Major disaster or emergency,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Allows for contracting with local governments and appropriations for performing relief and reconstruction activities,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5151,Stafford Act,Requires nondiscrimination and equitable disaster resistance,Stafford Act,"Broadly applies to any relevant federal agency,Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Major disaster or emergency,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5152,Stafford Act ,"Enables President to utilize and coordinate, with their consent, with domestic recovery groups and disaster assistance organizations ",Stafford Act,"Federal Emergency Management Agency,Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Major disaster or emergency,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,May contract with and utilize relief organizations,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5156,Stafford Act,Requires comprehensive standards to assess the efficiency and effectiveness of Federal major disaster and emergency assistance programs annually.,Stafford Act,Executive Office of the President of the United States,No triggering event - Capacity Building,"No emergency required - routine and part of disaster preparation 
",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 3a,Scenario 2,Scenario 3b,Scenario 3c",
42 U.S.C. § 5162,Stafford Act,Allows the President to lend or advance a State a portion of the assistance for which the State is responsible,Stafford Act,"Federal Emergency Management Agency,Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Major disaster or emergency,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Authorizes provision of temporary loans when states unable to assume financial responsibility under cost-sharing provisions,No,,"Scenario 2,Scenario 1,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. §  5163,Stafford Act,Prohibits the use of sliding scales or arithmetic formulas based on income or population when determining assistance,Stafford Act,"Broadly applies to any relevant federal agency,Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Major Disaster or emergency; or disaster preparedness assistance,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Creates anti-discrimination prohibitions on aid,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5165,Stafford Act,"POTUS may require state, local, or tribal governments to develop and submit for approval a mitigation plan as a condition of receiving increased federal funds",Stafford Act,"Federal Emergency Management Agency,Executive Office of the President of the United States",No triggering event - Capacity Building,No emergency required - part of disaster preparedness,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,"""Federal contributions under 5170c of this title may be used to fund the development and updating of mitigation plans under this section.""",No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5165b,Stafford Act,Allows FEMA to reimburse specific management costs to relevant project and mitigation measures.,Stafford Act,"Federal Emergency Management Agency,Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Major Disaster or emergency; part of disaster preparedness too,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,"Allows recuperation of ""management costs"" according to a certain percentage. ",No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5165d,Stafford Act,President shall designate a Small State and Rural Advocate to ensure fair treatment during emergency declaration process and recovery,Stafford Act,"Federal Emergency Management Agency,Executive Office of the President of the United States",No triggering event - Capacity Building,"This person participates in the disaster and emergency declaration processes, as well as assisting in preparation and disaster mitigation ",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5165f,Stafford Act,FEMA will administer a network of standardized search and rescue resources to assist states and local governments in responding to hazards,Stafford Act,"Federal Emergency Management Agency,Executive Office of the President of the United States",No triggering event - Capacity Building,It's unclear whether there's a triggering event or whether this happens all the time ,,Domestic,Yes - Subject to Posse Comitatus,,,,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5170a(1),Stafford Act,President may direct any federal agency with or without reimbursement to use its authorities and resources ISO state and local assistance efforts,Stafford Act,Executive Office of the President of the United States,Presidential Major Disaster Declaration,Major disaster,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Reimbursement to relevant agencies is allowable but not required,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5170(a),Stafford Act,"Defines major disaster as one of ""such severity and magnitude that effective response is beyond the capabilities of the State and the affected local governments and that Federal assistance is necessary.""",Stafford Act,Executive Office of the President of the United States,"Natural Disaster,Health Emergency,Act of War,Terrorism","Disaster must be one of ""such severity and magnitude that effective response is beyond the capabilities of the State and the affected local governments and that Federal assistance is necessary""",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5170(b)-(c),Stafford Act,Allows Chief Executive of affected Indian tribal government to make request for major disaster designation and outlines cost-share adjustments,Stafford Act,Executive Office of the President of the United States,"Natural Disaster,Health Emergency,Act of War,Terrorism","Disaster must be one of ""such severity and magnitude that effective response is beyond the capabilities of the State and the affected local governments and that Federal assistance is necessary""",Indian Tribal Government trigger,Domestic,Unclear,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Disaster relief and reimbursement to federal agencies both allowable,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5170a(2),Stafford Act,"Allows President to coordinate disaster relief provided by Federal agencies, private organizations, State, and local governments, including precautionary evacuations and recovery ",Stafford Act,Executive Office of the President of the United States,Presidential Major Disaster Declaration,Major disaster,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Disaster relief and reimbursement to federal agencies both allowable (but not required) ,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5170a(3),Stafford Act,"Allows President to provide technical and advisory assistance to State and local governments on many topics, including the provision of health and safety measures and the management and control of public health threats",Stafford Act,Executive Office of the President of the United States,Presidential Major Disaster Declaration,Major disaster,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. §1570a(4),Stafford Act,"Allows executive branch to assist state and local governments in distributing medicine, food, consumable supplies, and emergency assistance",Stafford Act,"Broadly applies to any relevant federal agency,Executive Office of the President of the United States",Presidential Major Disaster Declaration,Major disaster,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 1570a(6),Stafford Act,Allows federal assistance and support where necessary to save lives on an expedited basis,Stafford Act,"Broadly applies to any relevant federal agency,Executive Office of the President of the United States",Presidential Major Disaster Declaration,Major disaster,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 1570b(a),Stafford Act ,"Federal agencies may provide assistance to meet ""immediate threats to life and property"" ",Stafford Act,"Broadly applies to any relevant federal agency,Executive Office of the President of the United States",Presidential Major Disaster Declaration,Major disaster,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. §1570b(c),Stafford Act,Outlines restrictions on use of DOD resources; limits to 10 days,Stafford Act,"Department of Defense,Executive Office of the President of the United States",Presidential Major Disaster Declaration,Major disaster,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Reimbursement to DoD allowable (but not required),No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5174(e)(1),Stafford Act,Authorizes president to provide financial assistance to individuals or households for disaster-related medical and dental expenses,Stafford Act,Executive Office of the President of the United States,Presidential Major Disaster Declaration,"Major disaster - likely excludes health, though",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Personal assistance grants,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
