Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Plans & Strategies
7 U.S.C. § 8304,,"Authorizes Secretary of Agriculture to prevent the exportation of livestock if: (1) necessary to prevent dissemination from or within the United States of any pest or disease of livestock; (2) if the livestock is unfit to be moved; (3) if the method of conveyance is unsafe, risky, or has not been maintained in a clean or sanitary condition. Provides for orders to disinfect.",7 USC 8304,Department of Agriculture,Potential Public Health Emergency,Must be deemed necessary to prevent the introduction or export of any pest or disease of livestock. ,Regulations on Interstate or Foreign Commerce,Not applicable,Both,No,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,5/13/2002,2/7/2014,USCODE-2023-title7-chap109-sec8304.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/we0h1S2MyzTXdjBFTnsnvA/Mr1lLoXK19-kB9P7UvW6BQx-n_YHnQOHM5txxHKanHiOpwZb6InjZhS1-5VFmjW3xXjaGuGvGUro7Obv_ZqqJSR4Yi6kkzSTTAqdi_nPnbJg_yff4eifPDMTGoJJBpBaXoIAHufpFJDd0vuJ2ns52KRrqVclWvP9qE3Eu7QMJoVqevgagPn5gl2s11B6-TvD/KiDjiPZy8EPhZYxbYZ-0C1_XUYa_1KQxKN5nQ7d-22A),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8304.pdf,
7 U.S.C. § 8305,,"Authorizes Secretary of Agriculture to prohibit or restrict the movement in interstate commerce of any animal, article, or means of conveyance, if deemed necessary to prevent the introduction or dissemination of any pest or disease of livestock; and any conveyance in connection with moving animals deemed necessary to do the above.",7 U.S.C. 8305,Department of Agriculture,Potential Public Health Emergency,Must be deemed necessary to prevent the introduction or export of any pest or disease of livestock. ,Regulations on Interstate or Foreign Commerce,Not applicable,Domestic,No,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,5/13/2002,5/13/2002,USCODE-2023-title7-chap109-sec8304.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/DCXyNoyxbslsNsLvNINrcQ/_l7v7GfDBEMLD61tSiI89s8uPLRbCPzLj9iftXrkdWysXESUWbUsRnh3_GtOAnox64-DewW0VK3PYfmdKHZNuGqOwbJ-txpaCCKG_EIvFSfLbT_A1gBcQ15l1pcdFolyjV_6zbZmwU3MZbpWYOUpviL38pnkIwELKwbDYYWkhxkFZHjw1AK1nCwPJVR1AH-B/cjwdAgxRQE4eNguorTzwD_BdJr-KK0a-uK4pVBLs904),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8304.pdf,
7 U.S.C. § 8306,,"Authorizes Secretary of Agriculture to ""hold, seize, quarantine, treat, destroy, dispose of, or take other remedial action"" with respect to any animal that may pose a threat of disseminating or infecting livestock with a pest. The Secretary may also seize, hold, treat, apply other remedial actions, to, destroy, or otherwise dispose of any facility, article, or means of conveyance necessary to prevent the dissemination of disease. If owners fail to comply with orders, Secretary may take enhanced remedial actions. ",7 USC 8306,Department of Agriculture,Potential Public Health Emergency,Must be deemed necessary to prevent the introduction or export of any pest or disease of livestock. ,Quarantine,Not applicable,Domestic,No,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,5/13/2002,6/18/2008,USCODE-2023-title7-chap109-sec8306.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/akMbr2jVnzT5lXFG51bTHg/6sQ-B9oGwg7XjOLCFptVoHzXbS8uos55mnrvHTjzmeSKf2qcK43lJ7yv7kHlAG0evpslBE-S02FarHwhGySu9X7GFef__iZxqC6OuSfy3VUANog02ipePZdkLvg1G3fvc-gdf1oqobbEoVz5l-OAt6TDkZHynA5rjDDaZFSFSW7rjbSnST8JkCGqiMoTaogn/IHHXu70X2OKKy3DmIiAyoakiD0wrs0Caux6TqEELbbY),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8306.pdf,
7 U.S.C. § 8308,,"Authorizes Secretary of Agriculture to carry out operations and measures to ""detect, control, or eradicate"" any pest or disease of livestock, including drawing blood and diagnostic testing, at any point of concentration.",7 U.S.C. 8308,Department of Agriculture,Potential Public Health Emergency,Must be deemed necessary to prevent the introduction or export of any pest or disease of livestock. ,Health Surveillance,Not applicable,Domestic,No,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,5/13/2002,6/18/2008,USCODE-2023-title7-chap109-sec8308.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/qsxNEs3tuPWyH5hw4u2lUA/8488UCoDAnV_573NIe-IK4m949Nxy1I5yNpZNN4kCNQWqu5ZYwfJZQqKTacMTyQlIVFWP4V3hmFGMWKIggk1u5_OYVcd_ohn6x_U8yubkgadrQmwyojFxiKHb-V-onDUrCWwFtgbeIkSLzNhqwiJ20Nw7SxU6ydKKFHgXgnDZNYsE4ZnFHkMOyMRHsBh2-tn/Ys3dUq_cxcm_OTHpgZEh0Yk9FrL3JcvgfH9jVA_czFw),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8308.pdf,
7 U.S.C. § 8310,,"Authorizes Secretary of Agriculture to cooperate with other federal agencies, States, political subdivisions of states, national, state, or local governments of foreign countries, Indian tribes, domestic or international organizations/associations to carry out livestock disease prevention functions. Additionally, the Secretary of Agriculture may produce and sell sterile screwworms to any foreign country, international government or association if the livestock industry will not be adversely affected by the production and sale. ",7 U.S.C. 8310,Department of Agriculture,Potential Public Health Emergency,Must be deemed necessary to prevent the introduction or export of any pest or disease of livestock. ,"Health Surveillance,Federal-State Coordination",Not applicable,Both,No,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,5/13/2002,5/13/2002,USCODE-2023-title7-chap109-sec8310.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/e9T5JUTbIz4NI0tXhleJ9g/KjhES86iVemn0r_5urjVWFSlHIJDPShjHCb8KEiW2XP2ywIhUGPrcG16gjLpzwACh-uSLmKPrag_ebelo-Cln5NXJU757IPStRaBts4Ssbjl_cyYpYBdCrUxDJyMPuG-RIwnoBGqaAmmOp6r8GGYUhlzT3ytjXH9r9f0EJjdWtpAoCsvi4niGrb5RLVfJy2u/_vv_J6lJLAv_qjV-6f6YRYrvJIx2uXI7_NgHdh7bhGY),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8310.pdf,
7 U.S.C. § 8315,,"Authorizes Secretary of Agriculture to promulgate ""such regulations... as the Secretary deems necessary to carry out this chapter."" ",7 U.S.C. 8315,Department of Agriculture,No triggering event - Capacity Building,N/A,Health and Safety Regulations,Not applicable,Both,No,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,5/13/2002,5/13/2002,USCODE-2023-title7-chap109-sec8315.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/fI_CoMMx49GLUGXxd5ItGQ/6oTU6MsDl0QPq81FEyxw0GpDfBB8wGiNgLDvV8rmIVsXesRdrRPSm7-prt-Me6b0KRfXTpgeasTVqUpoWoqzlFoGibMCDhHSyJLvWFV_8EPqwzx0RrI_-e0WJbak0SgqydhRxd_qqIasBQqMbS9OkYQl92CesLucJxBtEGbFoKG-rRgEQvBGzCg1xrmfXOCS/qLQYt_giXySHLZoH17uDfa0ULN68tCc3_bWEu4D7xTo),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8315.pdf,
7 U.S.C. § 8316,,Authorizes Secretary of Agriculture to appropriate funds in sums necessary to respond to an agricultural emergency.,7 U.S.C. 8316,Department of Agriculture,Potential Public Health Emergency,"Must be ""[I]n connection with an emergency under which a pest or disease of livestock threatens any segment of agricultural production within the United States....""",Appropriations - Emergency Response,Not applicable,Both,No,Legislation,Yes,Authorizes expenditures as necessary to meet an agricultural emergency,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,5/13/2002,6/18/2008,USCODE-2023-title7-chap109-sec8315.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/rFqi5yscEM9pwTCTVyybkg/2th_x3P5KszbmV8Z0jqACpdoKgf4tWjLKZ4YtOSDu2w1hfjwTvSB2C_XJcG5pxBaHVnewD_vFRb4e0ajcy4p6c338RCrh0Cd8jf9NFi7emqgNJGd8zpQq7KuVjL6oJyyj1EGWa4ZnPZ5oAzjPHoS8YIfqwf5qa1Coz7rZ--FEzke6QUiTmlAD-wfvcjPeoVC/ZCwhPyEEk2AwFpsHOo_F9OLPULRAXcITUTws1DwqL5M),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8315.pdf,
7 U.S.C. § 8319,,"States that the Secretary of Health and Human Services, via the FDA and CDC, and the Secretary of Agriculture shall coordinate the surveillance of zoonotic diseases. ",7 USC 8319,"Department of Agriculture,Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention,Food and Drug Administration",No triggering event - Capacity Building,Part of emergency preparedness,"Health Surveillance,Response Leadership",Not applicable,Both,No,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,6/12/2002,6/12/2002,USCODE-2023-title7-chap109-sec8319.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/s-DtqPVjXw8-rOUo4hwhCw/EjCVbySnzg1p3XWRSphoA3MDzG23BQrIX8lg754fu0kD23aQ4i2BWrvBmXcuNo36ej0FA6t_Mi0AWRfRcF7DYndmguC0bfwockDaStJKL0TGpjF3BYFf1BgrPkHSLH0JmmQJOf8EGj25_P5XU2akVlM5Vw9F2mVNosr8cKYlYt_xUesoxrKlA-PPSVj4bSnE/9-8PkqQAZYuLtkdm0o7hqs19-btm-lRkdNJ4gBHLuDY),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8319.pdf,
7 U.S.C. § 8320,,Authorizes the Secretary of Agriculture to use existing authorities to enhance methods of protecting against the introduction of plant and animal disease organisms by terrorists; increase inspection and surveillance at ports of entry and origin; develop strategies for dealing with intentional outbreaks of plant an animal disease resulting from acts of terrorism or unintentional introduction; and otherwise improve the capacity of the Service to protect against bioterrorism. ,7 USC 8320,Department of Agriculture,No triggering event - Capacity Building,Part of emergency preparedness,"Strategies and General Preparedness Efforts,Regulations on Interstate or Foreign Commerce",Not applicable,Both,No,Legislation,Yes,Authorizes appropriations as necessary to carry out the section.,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,6/12/2002,6/12/2002,USCODE-2023-title7-chap109-sec8320.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/95D3jAsL7PRFRfHtdCpt4w/4_MXcB5HaYbLStsyPm6OHRA4jDMTJc6PCrA4jTYqxU37Fc-cZ5Jnrgs5JOX_9TQ4Ck4I1rshUXfNV6erIfaVl0uoYxstmdKJPH1cnwIok6uhKdjdIkXiKha6pmDib1TqbC0jzjV5Ywfsrpo2yFTlQ6jOgLZ4MbIjA-dvy9QQuD7NHH6B_OBGyMTZ8RdP1YTS/FmkDnFZ8-sPW1OB2FyymGZvF_KNuGl22ZbyoosSAak8),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8320.pdf,
7 U.S.C. § 8321,,"Establishes a ""Pest and Disease Response Fund"" to support the emergency eradication and research activities in response to economic and health threats posed by pests and diseases affecting agricultural commodities. ",7 USC 8321,Department of Agriculture,No triggering event - Capacity Building,Part of emergency preparedness,"Research and Development,Grant Programs or Appropriations (not to states)",Not applicable,Both,No,Legislation,Yes,Authorizes the creation of a fund to help respond to plant and animal health emergencies,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,12/21/2004,12/21/2004,USCODE-2023-title7-chap109-sec8321.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/nybuzF42RcGzoC3__ZdEfA/4xb1DILoIekz2nA5AfHFXflhC70zZJv6mMwBA0T6FpToAHwwoYZ3IgLMfmIQ7uIpcMQPmQxkJAtURkuP7I199rDwSKaPkDNrwPvi2wQaese83s1QVsyvP9zK6mX1UXIr2OJhk4CGyh6_2GrLjFYbLs5QeMCk-Z4m1FfcwQcijpq4QYv2ut8QnNruW7PVJsY0/tfGvTNBa9BdUrfBDYFtgRgWyODBpQAcy_VmgcvS91yo),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8321.pdf,
31 U.S.C. § 1301(a),31 USC CHAPTER 13- Appropriations,"This law ensures that federal funds are only used as they were designed, and promotes financial accountability within all sectors of the federal government.",31 U.S.C. §1301,"Department of Defense - Department of the Army,Department of the Treasury",No triggering event - Capacity Building,N/A,General Rules and Regulations,Not applicable,Domestic,No,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,4,9/13/1982,,31_USC_1301.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8ECvBl0zXNF2OF4mKN_94A/JOsDzUXT_jbupGC72Lj8IOGiAbKyhuLpB-rXCvRiZ0a3WlFmlkVv9fAmpkSHE8sSP77IRS5p0S4dquQt8D5Y7oL06GlVvX1pnlo9e-cgBFkLrMtRxd9KYvlDZR_gL5AJBRVkFCSjkGcIaMKDm8pvitmeITQrjEK_QVW6soNlcFo/lBtFWep30p2d1aAF3qcqo-hBW1zwp_wPScvVf_aNnjw),,https://policy.defense.gov/portals/11/Documents/hdasa/references/31_USC_1301.pdf,
10 U.S.C. § 12304b,Active Duty,"Authorizes the Secretary of a military department to augment active forces for a preplanned mission in support of a combatant command, using any unit of the Selected Reserve. Limitations are placed on appropriations and costs.",10 U.S.C. 12304b,Department of Defense,"Act of War,Terrorism,Declaration of War,Insurrection",Must be a pre-planned combatant mission that needs additional troops to augment it.,"""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,12/31/2011,1/2/2013,USCODE-2023-title10-subtitleE-partII-chap1209-sec12304b.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/BlAx6UvFQ3W8SSnLDDS--A/Ra7SSJlwnoN0p9qkjAmVorNHg8l_PLv-Alm4ZtG9bB3BZ1OgOfOaBYbgw5fY87-hidsCBGsnj8tnkfc6MhQ8Y-1v_FlyhwXR67htfzZC6Oa6OJbhGreBbTwC-qmvipWR6qY7aGcxU08AeF_2DnEycHfeHTPnb70meZIwBY7sP7S52X0-XVaQ9GED7PAYb2qj3arRXr1A0u9uzx_r4JXJuF40IVa4m-ZDNz8tcoYycSI/dmNVmxBlyC7WqAHn2RoYOnHnLduLGLkZZjx17rgwUnE),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleE-partII-chap1209-sec12304b.pdf,
10 U.S.C. § 12304,Active Duty ,Authorizes President to augment active forces for any named operational mission; President may authorize Secretary of Defense and Secretary of Homeland Security re: the Coast Guard (when not operating as a service in the Navy) to active duty for not more than 365 consecutive days.,10 U.S.C. 12304,"Department of Defense,Department of Homeland Security,Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","Terrorism,Act of War",Must be in response to: (1) use or threatened use of a weapon of mass destruction; or (2) a terrorist attack or threatened terrorist attack in the U.S. that results or could result in significant loss of life or property.,"""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 3b,Scenario 3c",Include,PNNL,,5/14/1976,12/31/2011,USCODE-2011-title10-subtitleE-partII-chap1209-sec12304.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/LbP-zpB1BBLH-iXcaUDIGg/_TyJfFe2kjU9NHaFwOxry3A9QPo255WbZXE2tCUqndf_WvEF0NzugWKIVGTYizYv4GjQVfmfuqisGs0wSKNA6Fbgm0f8jD9yb4qGIq0yn7iY5O4qh4dCbWTQIXv7nANKiZlTSy5CwRlgxRjyIEt_PH8KBnac5HjAhqm3PpqAlVpBTIhQGOdtVR-LTEj4X7n6p4820s2rydfVPadO5aa2V4uxYvHVJIYkz9JPfpxnIBg/sYnFjlYSl0ZsgaVGwI_kB4YbSESZ6ihahpWVEsH_0fw),,https://www.govinfo.gov/content/pkg/USCODE-2011-title10/pdf/USCODE-2011-title10-subtitleE-partII-chap1209-sec12304.pdf,
10 U.S.C. § 12304a,Active Duty ,Authorizes the Secretary of Defense to call Reserves to active duty for up to 120 days to respond to a Stafford Act major disaster when requested by the governor of a state.,10 U.S.C. 12304a,Department of Defense,Presidential Major Disaster Declaration,"Must be a declared ""major disaster"" under the Stafford Act. ","""Troop, Uniformed Service, or National Guard Deployment""",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,12/31/2011,12/31/2011,USCODE-2023-title10-subtitleE-partII-chap1209-sec12304a.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/zXBzHwzeM4KgAaTpvrzesQ/OQyugXJSwr_csOH41teSyJZXxpXTV1totk6HnsCIv3JBf8IntCY16OTlKNDcJfrSYs4RRRhXTKQ0_hh60hDNpe9ZY7y8TTUx779npZSAKpsKz2qTq6aDUsItMmaoHAc1tHIw4P4goe0sVb6O8cIlGGW4lLdBhMdnLQWGfHxDVKucqlHsnxcY2lcHCqQNJ-fNOfddtU9n9jmVOtD5OUuqFWLotxxiHeglUxvOBDWTJn0/o7kFWBuVjey2PjSQ6h2ajg-db-6IB9ZNccrJKolHQZ0),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleE-partII-chap1209-sec12304a.pdf,
10 U.S.C. § 12310,Active Duty ,May require any reserve to organize and perform duties in support of emergency preparedness programs to prepare or respond to specified emergencies.,10 U.S.C. 12310,Department of Defense,No triggering event - Capacity Building,"Must be to prepare for or respond to: (A) use or threatened use of weapon of mass destruction; (B) terrorist attack or threatened terrorist attack; (C) intentional or unintentional release of hazardous chemical, biological, or radiological materials that could result in catastrophic loss of life or property; or (D) a natural disaster that could result in catastrophic loss of life. ","Strategies and General Preparedness Efforts,Military Readiness",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,PNNL,,8/10/1956,10/28/2009,USCODE-2023-title10-subtitleE-partII-chap1209-sec12310.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/CYs3kvEwcNMgfzNjmeZkSg/Uzqybmudg3Hyl0Gw_xMP_-51Zj5GJwQ4I9vaU-kq_EYvaPcz0ZVVYgJohC7DDf5TKTbXMhtvWtvdC3VX3n4ck_uHg-7M9F_4QJ6xit2BBrdjhJIhXmEo0XZPqK6LoKwWV4CrPd8h6rJCGnRJ05qb1rocnHY8Ug6DaGwAE1hdQAJBRVWgOmTKdsIJ5m05n1yTv94YvGpc3h12C-oWrJGlZOjXnsHF2ADo-MJX1QtEuuA/xbM5PzDD1fn-sOPhJibCr9-Cp0ObDOqcHrmL0RN1f54),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleE-partII-chap1209-sec12310.pdf,
42 U.S.C. § 5197(d),Administrative authority,"Authorizes the President to delegate any authority vested in him by Title VI of the Stafford Act to federal agencies, with certain exceptions. This provision allows for efficient administration of emergency preparedness functions by enabling the President to assign specific responsibilities to appropriate federal agencies.",Administrative authority,"Federal Emergency Management Agency,Department of Homeland Security",Presidential Major Disaster Declaration,"An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Mission Assignment/Response Coordination,Response Leadership",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Yes,"Agencies may be reimbursed for mission assignments (however, this is not obligatory)",No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,2,11/23/1988,,USCODE-2022-title42-chap68-subchapIV-B-partB-sec5197.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/zw4AjiX7fnca75bR4hTmTA/q9FaB1VFLBcwpqSQTUQ3cOQR7FkhQZ200UV_tqwEpcUfVZSAy4gA6SslwZPVbx36KWjayA71Y8jIQGOGl8y-uWgnSv_P6ZGQBKcBtknye7E_mAFVhaDZyiDvwEz-mqha3HSfIV9qjFInMznIt5JT2w/lWD_Sl_qkNTwVEHTCRfKVvwvWQqK-RAjO1I0yn4Jgw8),"Footnotes
",https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap68-subchapIV-B-partB-sec5197.pdf,
31 U.S. Code § 1535,Agency agreements,"31 U.S. Code § 1535 allows the head of an agency or major organizational unit to place orders for goods or services with another agency or unit within the same agency, subject to certain conditions. This provision enables interagency agreements for efficient resource utilization, provided that funds are available, it's in the government's best interest, the supplying agency can provide the goods or services, and commercial options are less convenient or more expensive.",Agency agreements,"Government Accountability Office,Executive Office of the President of the United States - Office of Management and Budget",No triggering event - Capacity Building,N/A,"Provision of Supplies,Government Contracts",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Yes,Authorizes appropriations and contracts between agencies,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,2,9/13/1982,1/5/2023,31_USC_1535.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/M0qfjk9BC7GLkxwKLbhh3g/4ptgsK-rVuMP4INom88hsgxq3SW0gFQBAnIrgRd5_AQD41WwVBffZM117PfW3kRqZ7B0lD6FS5-6T0WlYOi5WxwNMX0N_ykViAoaNhjPSWgPCSDyhHguX3VdEgmZSKBfzf6XvY9AggMTR02hyHqywg/PCl-G9TBzVoNt1CAs6wrXjut9ypbJNHenZFMzNHoDVM),"Footnotes
",https://policy.defense.gov/portals/11/Documents/hdasa/references/31_USC_1535.pdf,
42 C.F.R. §§ 457.1000-457.1015,Children's Health Insurance Program,CHIP - Allowable Waivers - General Provisions,42 CFR 457 ,"Department of Health and Human Services,Department of Health and Human Services - Centers for Medicare & Medicaid Services",No triggering event - Capacity Building,"No emergency required for most waivers; for more general waivers, see Section 1135 waivers",Waiver,Not applicable,Domestic,No,Regulation,No,,Yes,"* § 457.1000 Basis, scope, and applicability.
* § 457.1005 Cost-effective coverage through a community-based health delivery system.
* § 457.1010 Purchase of family coverage.
* § 457.1015 Cost-effectiveness.","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,1/11/2001,1/3/2017,42 CFR Part 457 Subpart J (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/2WDn0dTgpTQ81ggTfLw9mQ/yV8bSq8RXhpYkKaWNM2y0PCZpYwbNvjiQy9jmfGWa8G8TspTzFiKddH1jLLtfxOVWrrD_oSTS7sSqtv44s4ylbC52__4pOg1Lkzc5ZpdrfqTU1qRHuyAauafSHlUsF0wuN8bQ0iggd8BC1805fKZRtiuItQ-z4W1widFKo55XjUH0my1QCMP9KcxQPgh0quP-GKBP21-y4_1n2d3O_fw5A/h-KmfFSvJ7DT15GDDpntqLKvZNAffuwU3OOyf7JEjM4),,https://www.ecfr.gov/current/title-42/chapter-IV/subchapter-D/part-457/subpart-J,
42 C.F.R. § 482,CONDITIONS OF PARTICIPATION FOR HOSPITALS,Conditions of Participation for Hospitals (Medicare),42 CFR 482,Department of Health and Human Services,No triggering event - Capacity Building,"N/A
","Health and Safety Regulations,Provision of Medical Care,Waiver",Not applicable,Domestic,No,Regulation,Yes,Sets out conditions for reimbursement for Medicare services provided by participating hospitals,Yes,"* § 482.2: Reimburses provision of emergency services by nonparticipating hospitals 
* § 482.11: Requires compliance with federal, state, and local laws
* § 482.12: Governing body that ensures proper staffing; care of patients; creates an institutional plan and budget; is responsible for contracted services; and has compliant emergency services
§ 482.15 All-hazards approach to emergency preparedness
* § 482.21: Quality assessment and performance improvement program
* § 482.22: Organized medical staff which is responsible for quality of care
* § 482.23: 24-7 nursing services furnished by a registered nurse 
* § 482.41: Physical environment of the hospital 
* § 482.42: Infection prevention and control and antibiotic stewardship programs 
* § 482.43: Discharge planning 
* § 482.55: Emergency services
* §482.57: Respiratory care services","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,General Health Law,,6/17/1986,8/4/2024,42 CFR Part 482 (up to date as of 8-08-2024).pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/1AzurdH7UxwtqnCT6pepPA/Q3wAFxPq4Z0szqFv8TFsTxMBdfrEDE8A-btq37d44gteqTzTZ-BJK-YjxczwDJ4FoTaW_R1_mlnBdukBgC-u3t5TBrVMun76y5k5euUq3WeRY_DmPzVNVpVi6jEnlWqswrLa1lacE5UDbSc0iTy9qpsmszjNdwleC5_F2EWMauBQrWI_6Maj2s3p9rhh3SPp/GH8tiYt3eLmeERyuQhwuESvwDXeovwhbzO_0Ak1bcrA),,https://www.ecfr.gov/compare/2023-08-04/to/2023-08-03/title-42/chapter-IV/subchapter-G/part-482,
