Citation,Parent Statute,Document Description,File,Date Originally Published (from File),Date Last Updated (from File)
42 U.S.C. § 5156,Stafford Act,Requires comprehensive standards to assess the efficiency and effectiveness of Federal major disaster and emergency assistance programs annually.,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5162,Stafford Act,Allows the President to lend or advance a State a portion of the assistance for which the State is responsible,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. §  5163,Stafford Act,Prohibits the use of sliding scales or arithmetic formulas based on income or population when determining assistance,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5165,Stafford Act,"POTUS may require state, local, or tribal governments to develop and submit for approval a mitigation plan as a condition of receiving increased federal funds",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5165b,Stafford Act,Allows FEMA to reimburse specific management costs to relevant project and mitigation measures.,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5165d,Stafford Act,President shall designate a Small State and Rural Advocate to ensure fair treatment during emergency declaration process and recovery,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5165f,Stafford Act,FEMA will administer a network of standardized search and rescue resources to assist states and local governments in responding to hazards,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5170a(1),Stafford Act,President may direct any federal agency with or without reimbursement to use its authorities and resources ISO state and local assistance efforts,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5170(a),Stafford Act,"Defines major disaster as one of ""such severity and magnitude that effective response is beyond the capabilities of the State and the affected local governments and that Federal assistance is necessary.""",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5170(b)-(c),Stafford Act,Allows Chief Executive of affected Indian tribal government to make request for major disaster designation and outlines cost-share adjustments,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5170a(2),Stafford Act,"Allows President to coordinate disaster relief provided by Federal agencies, private organizations, State, and local governments, including precautionary evacuations and recovery ",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5170a(3),Stafford Act,"Allows President to provide technical and advisory assistance to State and local governments on many topics, including the provision of health and safety measures and the management and control of public health threats",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. §1570a(4),Stafford Act,"Allows executive branch to assist state and local governments in distributing medicine, food, consumable supplies, and emergency assistance",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 1570a(6),Stafford Act,Allows federal assistance and support where necessary to save lives on an expedited basis,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 1570b(a),Stafford Act ,"Federal agencies may provide assistance to meet ""immediate threats to life and property"" ",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. §1570b(c),Stafford Act,Outlines restrictions on use of DOD resources; limits to 10 days,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5174(e)(1),Stafford Act,Authorizes president to provide financial assistance to individuals or households for disaster-related medical and dental expenses,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5191(a) ,Stafford Act,Requires requests for declaration of emergency to be made by governor of affected state,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. §5191(b) ,Stafford Act,President may exercise authority with respect to emergency when he determines that primary responsibility resides with federal government,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5191(c) ,Stafford Act,Chief Executive of Indian trial government may submit a request for emergency declaration,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5192,Stafford Act,POTUS may direct any federal agency with or without reimbursement to utilize authorities ISO state and local emergency assistance efforts (for public health and safety),Stafford Act,5/22/1974,3/18/2024
44 C.F.R. §§80.1–80.21,Stafford Act,Open Space Property Award Plans,Stafford Act,5/22/1974,3/18/2024
44 C.F.R. §§201.1–201.7,Stafford Act,Disaster Assistance - Mitigation Planning,Stafford Act,5/22/1974,3/18/2024
5 U.S.C. § 5303,National Emergencies Act,"Gives the President the ability to change yearly pay adjustments for federal employees in the event of a national emergency or serious economic issues affecting the welfare of the country.
",National Emergencies Act,9/14/1976,
5 U.S.C. § 5304a,National Emergencies Act,"This section allows the president to change locality-based pay raises in the event of a national emergency or serious economic condition.
",National Emergencies Act,9/14/1976,
21 U.S.C. § 356j,Public Health Service Act,"Empowers HHS Secretary to determine when information on potential supply disruptions of a device is needed during or before a public health emergency and requires manufacturers to notify the Secretary of any manufacturing interruptions likely to cause significant supply disruptions in the U.S. during such emergencies, such as PHE outlined in section 319.",Public Health Service Act,7/1/1944,7/2/2024
21 U.S.C. § 360eee-1,Public Health Service Act,Requires that the HHS Secretary set issue guidance for groups/individuals to request waivers of certain product tracing requirements. ,Public Health Service Act,7/1/1944,7/2/2024
21 U.S.C. § 802,Public Health Service Act,Empowers the HHS Secretary (alongside the Attorney General) to designate specific geographic areas and controlled substances for telemedicine practice during a PHE as established under Section 319. ,Public Health Service Act,7/1/1944,7/2/2024
29 U.S.C. § 1148,Public Health Service Act,"Empowers the the Secretary of Labor to postpone certain deadlines under the Employee Retirement
Income Security Act, in events including PHE. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 204a,Public Health Service Act,"Defines ""Urgent or emergency public health care need"" as a health care need determined by the HHS Secretary due to presidentially declared national emergency, emergencies declared under the Stafford act, PHE determined by Section 319, or emergencies deemed appropriate by the HHS Secretary for deploying the Commissioned Corps of the Public Health Service.",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 238m,Public Health Service Act,Authorizes the HHS Secretary to contract with fiscal agents to determine payment  for individuals/agencies providing health services on behalf of the Public Health Service.,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 247d-4a,Public Health Service Act,"Empowers the HHS Secretary to utilize the Infectious Diseases Rapid Response Reserve Fund during infectious disease emergencies declared as public health emergencies under Section 319, or for emergencies the Secretary believes can adversely impact US national security of US citizens' lives.  ",Public Health Service Act,7/1/1944,7/2/2024
42 C.F.R.§ 489.24,Examination and treatment for emergency medical conditional and women in labor (EMTALA),Special responsibilities of Medicare hospitals in emergency cases,42 C.F.R. § 489.24 - Special Responsibilities of Medicare Hospitals ,4/4/1980,1/1/2023
42 C.F.R. § 512.294,Examination and treatment for emergency medical conditional and women in labor (EMTALA),Extreme and uncontrollable circumstances,42 C.F.R. 512.294 - Extreme and Uncontrollable Circumstances ,9/29/2020,1/1/2022
52 C.F.R. § 510.305,Examination and treatment for emergency medical conditional and women in labor (EMTALA),Determination of the NPRA and reconciliation process,52 C.F.R. § 510.305 - Determination of the NPRA and reconciliation,11/24/2015,7/2/2021
10 U.S.C. § 123,National Emergencies Act,"Allows the President to suspend any law relating to the promotion, involuntary retirement, or separation of officers in the military in the time of war or national emergency until one year after the event is over.",National Emergencies Act,9/14/1976,
10 U.S.C. § 123a,National Emergencies Act,Allows the President to defer any law limitations for the armed forces in the event of a war or national emergency until six months after the event.,National Emergencies Act,9/14/1976,
10 U.S.C. § 155,National Emergencies Act,Lifts the four-year limitation on the tours of duty of officers assigned to the Joint Staff of the Joint Chiefs of Staff in the event of a war or national emergency.,National Emergencies Act,9/14/1976,
10 U.S.C. § 194,National Emergencies Act,Lifts the cap on the armed forces and civilians that can be assigned permanent duty in the DOD during a war or national emergency.,National Emergencies Act,9/14/1976,
10 U.S.C. § 527,National Emergencies Act,"Allows the President to suspend the general limitations and rank limitations placed on the number of general officers in
the Army, Air Force, and Marines and of flag officers in the Navy during a war or national emergency until one year after the event.",National Emergencies Act,9/14/1976,
10 U.S.C. § 603,National Emergencies Act,"The President can assign any qualified person to an officer position in the military up to a major general or rear admiral during a war or national emergency up to two years or six months after the event, whichever comes first.

",National Emergencies Act,9/14/1976,
10 U.S.C. § 620,National Emergencies Act,The Secretary of a military department has the authority to remove a reserve officer who has been called to active duty during a war or national emergency from the active duty roster of officers.,National Emergencies Act,9/14/1976,
10 U.S.C. § 688,National Emergencies Act,Removes the 12-month limit on how long retired military members can be called back to active duty and lifts the ban on recalling certain retired officers during a war or national emergency declared by Congress or the President.,National Emergencies Act,9/14/1976,
10 U.S.C. § 690,National Emergencies Act,Removes the restriction on the number of retired generals and admirals who can be on active duty during a war or a national emergency declared by Congress or the President.,National Emergencies Act,9/14/1976,
10 U.S.C. § 708,National Emergencies Act,Allows the Secretary of a military department to revoke an educational leave of absence during a time of war or a national emergency declared by Congress or the President.,National Emergencies Act,9/14/1976,
10 U.S.C. § 712,National Emergencies Act,Allows the President to send armed forces personnel to any foreign nation he considers necessary to help with military issues during a war or a declared national emergency.,National Emergencies Act,9/14/1976,
10 U.S.C. § 857,National Emergencies Act,"A military secretary may sentence any officer to dismissal or reduced rank during a war or emergency and six months after.
",National Emergencies Act,9/14/1976,
10 U.S.C. § 1060c,National Emergencies Act,"This allows specific veterinary professionals who work for the Department of Defense or are in the National Guard to offer veterinary services during situations such a national emergency, regardless of their location or the location of the animal",National Emergencies Act,9/14/1976,
10 U.S.C. § 1076a,National Emergencies Act,"It allows the Secretary of Defense to waive dental insurance fees for members of certain military reserves during a national emergency, if it helps ensure they’re ready for deployment.",National Emergencies Act,9/14/1976,
10 U.S.C. § 1491,National Emergencies Act,"It lets the Secretary of Defense dismiss the need for a military honors detail at a veteran's funeral if it's needed to handle war, national emergencies, or other important military needs.",National Emergencies Act,9/14/1976,
10 U.S.C. § 1580,National Emergencies Act,"The Secretary of Defense can label any DOD worker as essential for emergencies if their job is crucial for supporting combat operations in a war zone, during a declared national emergency, or when the armed forces start combat in the area.",National Emergencies Act,9/14/1976,
10 U.S.C. § 2208,National Emergencies Act,It allows the Secretary of Defense to not tell Congress in writing about advance payments from a working-capital fund when there’s a war or national emergency.,National Emergencies Act,9/14/1976,
10 U.S.C. § 2350j,National Emergencies Act,"This allows the Secretary of Defense, or a military department head authorized by them, to use funds from NATO or other countries for military construction projects without needing to report fully to Congress or wait for approval, if the project is due to a war declaration or a national emergency declared by the President.",National Emergencies Act,9/14/1976,
10 U.S.C. § 2461,National Emergencies Act,The rules for privatizing a Department of Defense commercial or industrial function don't apply when the country is at war or during a national emergency declared by the President or Congress.,National Emergencies Act,9/14/1976,
10 U.S.C. § 2632,National Emergencies Act,It allows the Secretary of a military department arrange transportation for employees at private factories making materials for the department during wartime or a national emergency declared by Congress or the President.,National Emergencies Act,9/14/1976,
10 U.S.C. § 2662,National Emergencies Act,The rules requiring Congress to be notified and wait before certain property transactions by the military or GSA don’t apply if the transaction is due to a declaration of war or a national emergency by the President.,National Emergencies Act,9/14/1976,
10 U.S.C. § 2808,National Emergencies Act,"With the Secretary of Defense's approval, the Secretary of Defense and the military department heads can carry out military construction projects that aren't normally allowed by law. They can do this if it's needed to support the military during a war or a national emergency declared by the President.",National Emergencies Act,9/14/1976,
10 U.S.C. § 7014,National Emergencies Act,"The limits on how many military members, civilians, officers, and general officers can work in the Office of the Secretary of the Army or on the Army Staff don’t apply during wartime or a national emergency declared by the President or Congress.",National Emergencies Act,9/14/1976,
10 U.S.C. § 7375,National Emergencies Act,"When the President declares a national emergency, workers making military supplies must work 8 hours a day and 40 hours a week. However, the Secretary of the Army can set rules that allow for more hours if needed.",National Emergencies Act,9/14/1976,
42 U.S.C. § 1395dd (a),Examination and treatment for emergency medical conditional and women in labor (EMTALA),"This provision states that, any individual that seeks care in a federally funded hospital with an emergency department must be examined to determine if the individual seeking care has an emergency medical condition. This appropriate screening must take place regardless of an individual's insurance status. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),4/7/1986,1/1/2022
10 U.S.C. § 8014,National Emergencies Act,The limits on how many people can work in the Navy’s offices or Marine Corps headquarters do not apply if there’s a war or a national emergency declared by the President or Congress.,National Emergencies Act,9/14/1976,
10 U.S.C. § 8102,National Emergencies Act,"The rule limiting the number of retired flag officers who can be on active duty in the Regular Navy does not apply during wartime or a national emergency.






",National Emergencies Act,9/14/1976,
42 U.S.C. 5197h,Stafford Act,Creates the minority emergency preparedness demonstration program and appropriates funds to research disaster preparedness among African American and Hispanic communities,Stafford Act,5/22/1974,3/18/2024
10 U.S.C. § 8385,National Emergencies Act,"Members of the Fleet Reserve and Fleet Marine Corps Reserve can be called to active duty during a declared war or national emergency by Congress or the President, and they’ll stay on duty for the length of the war or emergency plus six months afterward.",National Emergencies Act,9/14/1976,
10 U.S.C. § 8624,National Emergencies Act,It allows the Secretary of the Navy to provide transport and meals on naval ships at government expense during a war or a national emergency declared by the President.,National Emergencies Act,9/14/1976,
10 U.S.C. § 9014,National Emergencies Act,Limits on how many people can work in the Office of the Secretary of the Air Force don't apply  during wartime or when a national emergency is declared by the President or Congress.,National Emergencies Act,9/14/1976,
10 U.S.C. § 9375,National Emergencies Act,"During a national emergency declared by the President, Air Force laborers and mechanics are usually scheduled to work eight hours a day and 40 hours a week. However, the Secretary of the Air Force can change these work hours if needed.",National Emergencies Act,9/14/1976,
10 U.S.C. § 12006,National Emergencies Act,"The President can extend the limits on reserve officers and general officers in the Army, Navy, Air Force, and Marine Corps by up to a year after a war or national emergency ends, even if the usual rules say otherwise.",National Emergencies Act,9/14/1976,
10 U.S.C. § 12302,National Emergencies Act,"If the President declares a national emergency or if allowed by law, the Secretary of a military department can call any member or unit of the Ready Reserve to active duty for up to 24 months even without their consent. During this period, the President can also suspend certain laws related to promotion, retirement, or separation for those crucial to national security.",National Emergencies Act,9/14/1976,
10 U.S.C. § 12311,National Emergencies Act,"If a reserve member's agreement for active duty ends while there’s a war or national emergency, they can be kept on duty even without their consent.",National Emergencies Act,9/14/1976,
10 U.S.C. § 14317,National Emergencies Act,"Reserve officers not currently on active duty can be considered for promotion when they are called to active duty during a war or national emergency. If they are on active duty for a specific operation, they can be considered for promotion by a special board.",National Emergencies Act,9/14/1976,
14 U.S.C. § 104,National Emergencies Act,"If the President declares a war or national emergency, any legal changes that ease restrictions on the Navy, such as those about buying supplies or staffing, will also apply to the Coast Guard.",National Emergencies Act,9/14/1976,
14 U.S.C. § 932,National Emergencies Act,Coast Guard officers can act as public notaries during a war or national emergency.,National Emergencies Act,9/14/1976,
14 U.S.C. § 2125,National Emergencies Act,"The President can, during a war or national emergency, temporarily change the rules for selecting, promoting, or removing Coast Guard officers. The President can also promote any active-duty officer or warrant officer to the next higher rank until six months after the crisis ends.",National Emergencies Act,9/14/1976,
14 U.S.C. § 2127,National Emergencies Act,The Secretary of the department overseeing the Coast Guard can call any retired Coast Guard officer back to active duty during war or a national emergency.,National Emergencies Act,9/14/1976,
14 U.S.C. § 2308,National Emergencies Act,The Commandant can call any retired Coast Guard enlisted member back to active duty during war or national emergencies.,National Emergencies Act,9/14/1976,
14 U.S.C. § 2314,National Emergencies Act,"A Coast Guard member can be kept in service for up to six months after their enlistment ends during a war or national emergency, if the President declares it necessary for national defense.",National Emergencies Act,9/14/1976,
14 U.S.C. § 2317,National Emergencies Act,"At least 20% of aviation cadets recruited each year must be qualified enlisted members of the Coast Guard, unless it's during a war or national emergency.",National Emergencies Act,9/14/1976,
14 U.S.C. § 2779,National Emergencies Act,The Secretary of the department overseeing the Coast Guard can arrange transportation to and from work for employees of a private company making materials for the Coast Guard during a war or a national emergency declared by Congress or the President.,National Emergencies Act,9/14/1976,
14 U.S.C. § 3735,National Emergencies Act,"If there's a war or national emergency at the end of a fiscal year, the President can temporarily lift the limit on the number of officers in the Coast Guard Reserve for up to six months after the war or emergency ends.






",National Emergencies Act,9/14/1976,
14 U.S.C. § 4903,National Emergencies Act,"If there is a war or national emergency at the end of the fiscal year, the President can temporarily lift the legal limits on the number of Coast Guard members, both military and civilian, for up to six months after the war or emergency ends.",National Emergencies Act,9/14/1976,
15 U.S.C. § 636,National Emergencies Act,Members of a reserve called to active duty during a war or national emergency can delay paying back interest and principal on loans from the Small Business Administration.,National Emergencies Act,9/14/1976,
16 U.S.C. § 440,National Emergencies Act,Fort McHenry can be shut down during a national emergency to be used for military purposes.,National Emergencies Act,9/14/1976,
42 U.S.C. § 247d-7c,Public Health Service Act,"Allows the HHS Secretary is to provide supplies, equipment, and services in lieu of payments (if requested) to the recipients of awards. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300d-73,Public Health Service Act,Authorizes the HHS to waive some accreditation requirements for a poison control center if the center's accreditation is impacted by a PHE identified by Section 319.,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300x-67,Public Health Service Act,Allows the HHS Secretary to extend/ waive application deadlines for specific mental health and substance abuse grants during a PHE. ,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300ff-83,Public Health Service Act,Empowers the HHS secretary to waive requirements for certain HIV programs to enhance the health and safety of recipients and the general public during a PHE under section 319.,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300ff-138,Public Health Service Act,"Enables the HHS Secretary to suspend infectious disease notification and reporting requirements during a PHE, if compliance is not feasible. If the HHS Secretary does so, they are required to notify Congress and publish the notice in the Federal Register. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 1320b-5,Public Health Service Act,"Authorizes the HHS Secretary to waive/ modify requirements related to Medicare, Medicaid, CHIP, HIPAA, and other health care regulations during PHE and emergencies declared under the Stafford Act. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 1395w-3a,Public Health Service Act,Empowers the HHS Secretary to use alternative methods to calculate Medicare Part B payments for drugs during PHEs provided ther is a documented shortage. The price increase must not be reflected in the manufacturer's average sales price.,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d,Public Health Service Act,"Empowers the HHS Secretary to respond to qualifying PHE, utilize the Public Health Emergency Fund, as well as reassign emergency professionals, and make appointments to respond to emergent health crises.",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 1395dd (b)(1),Examination and treatment for emergency medical conditional and women in labor (EMTALA),"In the case that an individual arrives at a federally funded hospital with an emergency department and is determined to have an emergency medical condition, the hospital is obligated to provide stabilizing treatment at the hospital and/or transfer of the individual to another medical facility. Guidelines for the transfer of patients is governed under 42 U.S.C. § 1395dd (c). Stabilizing care and/or transfer must be provided by the hospital regardless of patient insurance status. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),4/7/1986,1/1/2022
42 U.S.C. § 1395dd (b)(3),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,"In the event that a hospital offers a patient with an emergency medical condition an option to transfer to another medical facility, but the individual refuses such a transfer, the hospital must take all reasonable steps to confirm written informed consent to refuse this option. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),4/7/1986,1/1/2022
42 U.S.C. § 1395dd (c)(1),Examination and treatment for emergency medical conditional and women in labor (EMTALA),"Section c outlines the responsibilities of the hospital at which a patient with an emergency medical condition arrived before that patient may be transferred. According to section (c)(1), a patient must be stabilized before being transferred to another medical facility unless: (A(i) the individual seeking care requests in writing a transfer to a different facility after being informed of the hospital's responsibility to provide care; (ii) a physician certifies that the medical benefits derived from a transfer outweigh the risks to the patient or the fetus of a pregnant person; (iii) in the event a physician is not present, a qualified medical person certifies the transfer as described in (ii) after consultation with a physician. 
The transfer must also be deemed to be appropriate. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),4/7/1986,1/1/2022
42 U.S.C. § 1395dd (c)(2),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,"Section c outlines the responsibilities of the hospital at which a patient with an emergency medical condition arrived before that patient may be transferred. Paragraph 2 states that an appropriate transfer must meet the following criteria: 
A. The transferring hospital can provide the medical treatment to the individual in a manner that minimizes the risk to an individual, and potentially a fetus' life. 
B. The receiving facility has the capacity and personnel to treat the patient and has agreed to accept the case and provide appropriate care. 
C. The transferring hospital sends all medical records and documents related to the emergency medical condition and patient to the receiving hospital
D. All necessary and appropriate life support measures are utilized during patient transfer
E. Meets any other requirements required by the Secretary of Health and Human Services. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),4/7/1986,1/1/2022
42 U.S.C. § 1395dd (f),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,Facilities that have specialized capabilities or facilities may not refuse to accept an appropriate transfer of a patient that requires such specialized treatment so long as the hospital has the capacity to treat the individual. ,Examination and treatment for emergency medical conditional and women in labor (EMTALA),4/7/1986,1/1/2022
42 U.S.C. § 1395dd (h),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,A hospital may not delay appropriate medical screening for emergency medical conditions or treatment for such a condition in order to inquire about the individual's insurance status or intended payment method. ,Examination and treatment for emergency medical conditional and women in labor (EMTALA),4/7/1986,1/1/2022
44 C.F.R. §§ 206.1 - 206.17,Stafford Act,Federal Disaster Assistance - General,Stafford Act,5/22/1974,3/18/2024
44 C.F.R. §§ 206.31–206.47,Stafford Act,Federal Disaster Assistance - Declaration process,Stafford Act,5/22/1974,3/18/2024
50 U.S.C. § 1621,National Emergencies Act,"Authorizes the President to declare a national emergency with respect to ""Acts of Congress authorizing the exercise,"" provided that the proclamation is immediately transmitted to Congress and published in the Federal Register; these provisions shall remain in effect only when the President declares a national emergency and in accordance with the NEA more broadly. ",National Emergencies Act,9/14/1976,
44 C.F.R. §§ 207.1–207.10,Stafford Act,Management Costs,Stafford Act,5/22/1974,3/18/2024
44 C.F.R. §§ 208.13–208.66,Stafford Act,National Urban Search & Rescue Response System,Stafford Act,5/22/1974,3/18/2024
44 C.F.R. §§ 300.1–300.3,Stafford Act,Disaster Preparedness Assistance,Stafford Act,5/22/1974,3/18/2024
13 C.F.R. 302.1–302.20,Stafford Act,General Terms & Conditions for Investment Assistance,Stafford Act,5/22/1974,3/18/2024
15 C.F.R. §§ 700.1–700.93,Stafford Act ,Defense Priorities and Allocations System to support the Defense Production Act and the Stafford Act,Stafford Act,5/22/1974,3/18/2024
7 C.F.R. §§ 789.1–789.73,Defense Production Act,Agriculture Priorities and Allocations System,Defense Production Act of 1950,9/8/1950,8/13/2018
42 U.S. Code § 247d–1,Public Health Service Act,Establishes a system for tracking and distributing vaccines and other biological agents to ensure effective response to PHEs. ,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–2,Public Health Service Act,"Enables the HHS Secretary to contract with public and private entities to scale up development, production, validation, and dissemination of rapid diagnostic tests to respond to a PHE. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–3a,Public Health Service Act,"Authorizes the HHS Secretary, acting through the director of the CDC to issue grants designed to  improve state and local public health security for/during PHEs and to require preparation of All-Hazards Public Health Emergency Preparedness and Response Plan(s). Examples of grants provided include: efforts to enhance coordination and run drills. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–3b,Public Health Service Act,"Empowers the HHS Secretary to award grants to entities such as hospitals to improve/enhance surge capacity in preparedness for, and in response to, PHEs. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–3c ,Public Health Service Act,"This section identifies and provides guidelines to cope with surge treatment protocols for domestic hospital systems, healthcare facilities, and private care providers before, during, and immediately after PHEs. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–6b,Public Health Service Act,"Necessitates that the HSS Secretary, in conjunction with the CDC and DHS, create and maintain a national drug, medical device, requisite healthcare supplies stockpile. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–7b,Public Health Service Act,Allows Secretary to waive certain licensing requirements in a public health emergency.,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 248,Public Health Service Act,"Requires that the Surgeon General control/manage all hospitals in public health service, provide for the transfer of Public Health Service patients between hospitals and stations operated by the Service or other hospitals where they may be received, and ensure the accessibility of funds for disposal of money and effects, burial expenses, and reimbursement of hospitals.. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 248a,Public Health Service Act,"Requires the HSS Secretary to operate and manage hospitals and health facilities that provide medical care and treatment, primarily for those in federal custody or care. Also allows for the establishment of regulations for the admission, care, and treatment of patients in these facilities. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 295,Public Health Service Act,"Empowers the HSS Secretary to 
award grants or contracts to help increase the number of individuals in the public health workforce to meet local/national demand. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 300d–91,Public Health Service Act,"Allows the HSS Secretary, in conjunction with the Secretary of Defense to award grants to high-acuity trauma centers to enable military trauma teams to provide services. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 300u ,Public Health Service Act,"Outlines the general authorities of the HSS Secretary, including: formulating national public health goals, overseeing activities pertaining to health education/training, etc.",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 300u–10,Public Health Service Act,"Empowers the President to formulate National Prevention, Health Promotion and Public Health Council, through HSS, to coordinate, amongst other responsibilities, public health system, and offer recommendations to congress on pressing public health events. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 300hh–1,Public Health Service Act,"Requires the HSS Secretary to develop and regularly evaluate progress on  a National Health Security Strategy to coordinate and improve public health and medical preparedness and response capabilities for emergencies, including natural disasters, bioterrorism, and other public health threats. The National Health Strategy shall include preparedness goals to develop and sustain Federal, State, local and tribal health security capabilities. Also requires continuity of operations and countermeasures to be part of plan. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 300hh–2,Public Health Service Act,Requires HHS to conduct studies to evaluate the feasibility of improving the capacity of the Department of Health and Human Services to provide additional medical surge capacity to local communities during PHEs. Requires MOUs in the event of a public health emergency with respect to each facility for use in a public health emergency,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 300hh–10-10e,Public Health Service Act,"Creates the position of Assistant Secretary for Preparedness and Response. The ASPP is responsible for leading and coordinating public health and medical emergency preparedness and response efforts. This person is responsible for: personnel, countermeasures, coordination of Federal, State, local and tribal integrated responses, identification of inefficiencies, coordinating grants and agreements, drills and operational exercises, threat awareness, medical product and supply capacity planning, logistics, leadership, and countermeasure budget plan. Requires a ""Public Health emergency Countermeasures Enterprise,"" and national advisory committees on children, seniors, and individuals with disabilities during disasters. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 300hh–11,Public Health Service Act,"Establishes the National Disaster Medical System (NDMS), designed to provide health services, health-related social services, and other appropriate services to respond to the PHEs, including the movement and definitive care of patients. The NDMS shall test for mobilization of system, consider at risk populations, create a medical surge capacity strategic plan, carry out participation agreements for non-Federal entities, and appoint individuals to serve as intermittent disaster-response personnel",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 300hh–14 ,Public Health Service Act,"Enables the President, through the HSS Secretary, to declare an area an area where a substance was released a disaster area and carry out a specific program to coordinate the protection, monitoring, care, and study of exposed individuals. 
",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 300hh–15 ,Public Health Service Act,Establishes the Medical Reserve Corps to provide for the organization and training of volunteers who can respond to routine public health and medical emergencies.,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247b,Targeted liability protections for pandemic and epidemic products and security countermeasures,"This section outlines the actions that may be taken after the declaration of a Public Health Emergency by the Secretary. After such a declaration, the Secretary may require the manufacture, development, testing, distribution, administration, and use of medical countermeasures (MCM). The Secretary must describe the following in the declaration: (A) threats to health for which the MCM may be used, (B) period of time in which the declaration is in effect, (C) Population(s) for which the administration and/or use of MCM is applied, (D) geographic areas for which the declaration is in effect, and (E) specifications for distributing and obtaining the MCM. Importantly, there is a provision related to the Strategic National Stockpile (SNS), which requires that, if the MCM is included in the Secretary's declaration, the declaration shall include a period when the MCM is administered or used with respect to distribution and/or release from the SNS. ",Targeted liability protections for pandemic and epidemic products and security countermeasures,12/30/2005,3/27/2020
17 U.S.C. § 710,National Emergencies Act,"If a national emergency disrupts how copyrights are handled, the Register of Copyrights can temporarily change deadlines or rules to fix the problem. This rule, added by the CARES Act, ended on December 31, 2021.",National Emergencies Act,9/14/1976,
18 U.S.C. § 793,National Emergencies Act,"It's a crime to collect or share information that could harm U.S. national defense or benefit a foreign country, especially about places related to military activities during a national emergency or war.",National Emergencies Act,9/14/1976,
18 U.S.C. § 2153,National Emergencies Act,"It's illegal to destroy military equipment, buildings, or utilities during a war or national emergency declared by the President or Congress.",National Emergencies Act,9/14/1976,
