Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
42 U.S.C. § 204a,National Emergencies Act,"An ""urgent or emergency public health care need"" for deploying the Public Health Service's Commissioned Corps includes emergencies declared by the President, major disasters, or other crises deemed necessary by the Secretary.",National Emergencies Act,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,PHSA Emergency Declaration,Presidential Major Disaster Declaration","Under the Stafford Act, a ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations. The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. The PHSA may be triggered: If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists."" ","""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Both,Public Health Corps,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 300ff-83,National Emergencies Act,The Secretary of HHS can waive certain HIV program requirements during a President-declared emergency or disaster.,National Emergencies Act,Department of Health and Human Services,"NEA Emergency Declaration,Presidential Major Disaster Declaration,Presidential Emergency Declarations","Under Stafford, an ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations. The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ",Waiver,Not applicable,Both,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 1320b-5,National Emergencies Act,"The Secretary of HHS can waive or modify requirements for Medicare, Medicaid, CHIP, HIPAA, and other health-related rules in response to a public health emergency and a President-declared emergency or disaster.",National Emergencies Act,Department of Health and Human Services,"NEA Emergency Declaration,PHSA Emergency Declaration,Presidential Emergency Declarations,Presidential Major Disaster Declaration","A combination of an emergency declaration under the NEA and PHSA can trigger these waivers. Additionally, an emergency declaration or major disaster declaration under Stafford can. Per Stafford, An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations. The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, and the PHSA may be triggered if the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists."" ",Waiver,When Stafford is trigger,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
43 U.S.C. § 155,National Emergencies Act,The Engle Act rules for using public lands for defense don’t apply during a war or national emergency declared by the President or Congress.,National Emergencies Act,Department of Defense,"NEA Emergency Declaration,Declaration of War,Act of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ",Regulations on Interstate or Foreign Commerce,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
43 U.S.C. § 1341,National Emergencies Act,The Secretary of the Interior can suspend leases on the outer Continental Shelf if the Secretary of Defense recommends it during a war or national emergency declared by Congress or the President.,National Emergencies Act,"Department of Defense,Department of the Interior","NEA Emergency Declaration,Declaration of War,Act of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President.",Government Contracts,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
46 U.S.C. § 8103,National Emergencies Act,"The President can waive citizenship requirements for officers and seamen on U.S. documented vessels during a national emergency.

",National Emergencies Act,POTUS or Executive Office of the President of the United States,"NEA Emergency Declaration,Declaration of War,Act of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President,",Waiver,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
46 U.S.C. § 56102,National Emergencies Act,"During a war or national emergency declared by the President, transferring control of a U.S.-owned vessel or facility to a noncitizen requires permission from the Secretary of Transportation.

",National Emergencies Act,Department of Transportation,"NEA Emergency Declaration,Declaration of War,Act of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President,",Regulations on Interstate or Foreign Commerce,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
46 U.S.C. § 56301,National Emergencies Act,"The Secretary of Transportation can take over any U.S.-owned vessel or watercraft if the President declares it necessary for national defense or during a national emergency.

",National Emergencies Act,Department of Transportation,"NEA Emergency Declaration,Act of War,Declaration of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President,","Waiver,Government Contracts",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
46 U.S.C. § 57521,National Emergencies Act,"The Secretary of Transportation can end any charter of Department of Transportation vessels if the President declares it necessary for national defense or during a national emergency.






",National Emergencies Act,Department of Transportation,"NEA Emergency Declaration,Act of War,Declaration of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President,","Waiver,Government Contracts",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),"*not sure about triggering event*
",https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
46 U.S.C. § 70051,National Emergencies Act,"The Secretary of Transportation can control the anchorage and movement of all vessels in U.S. waters, and take possession of them if needed, during a national emergency declared by the President. The President can also protect vessels, harbors, ports, and waterfronts from threats during such emergencies.

",National Emergencies Act,"Department of Transportation,POTUS or Executive Office of the President of the United States","Natural Disaster,Act of War,Terrorism,NEA Emergency Declaration","N/A - This is in response to a situation: where ""the President finds that the security of the United States is endangered by reason of actual or threatened war, or invasion, or insurrection, or subversive activity, or of disturbances or threatened disturbances of the international relations of the United States....""","""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,No,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
47 U.S.C. § 308,National Emergencies Act,"The FCC can skip the formal application process for permits and licenses for radio stations during a national emergency declared by the President or Congress and during wartime if needed for national defense or the war effort.

",National Emergencies Act,Federal Communications Commission,"Natural Disaster,Act of War,Health Emergency,Terrorism,NEA Emergency Declaration","There must be a declared emergency OR wartime under the NEA. The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ",Communications,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
47 U.S.C. § 606,National Emergencies Act,"The President can change rules for any device emitting electromagnetic radiation, close radio stations, or allow government control over them during a war, public disaster, or national emergency, with fair compensation to owners.",National Emergencies Act,Federal Communications Commission,"Natural Disaster,Health Emergency,Act of War,Terrorism,NEA Emergency Declaration","There must be a war, public disaster, or national declared emergency. The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ",Communications,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
49 U.S.C. § 114,National Emergencies Act,"The TSA Administrator can coordinate all domestic transportation and manage transportation-related duties of nonmilitary federal agencies during a national emergency, but this does not override other agencies' transportation authority.",National Emergencies Act,Department of Homeland Security - Transportation Security Administration,NEA Emergency Declaration,"The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ","Waiver,Response Leadership",Not applicable,Domestic,No,Legislation,Include,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
49 U.S.C. § 5334,National Emergencies Act,"The Secretary of Transportation can regulate public transportation systems' operations, routes, or schedules if they receive certain grants, except for national defense or during a national or regional emergency.",National Emergencies Act,"Department of Transportation,Department of Transportation - Federal Transit Administration",NEA Emergency Declaration,"The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ","Movement of Medical Personnel,Executive Power(s) over states,Response Leadership,Waiver",Not applicable,Domestic,No,Legislation,Include,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
50 U.S.C. § 98f,National Emergencies Act,"The President can allow designated people to use, sell, or dispose of materials in the National Defense Stockpile for national defense purposes during a war declared by Congress or a national emergency.

",National Emergencies Act,"Department of Defense,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,"The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ","Defense Production Act,Provision of Supplies,Government Contracts",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
50 U.S.C. § 1435,National Emergencies Act,The President's authority to modify defense contracts for national defense purposes is valid only during a national emergency declared by Congress or the President and for six months after it ends.,National Emergencies Act,"Department of Defense,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,"The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ","Waiver,Government Contracts",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,Yes,Allows for the modification of appropriation rules surrounding defense contracts for a specified period of time.,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
50 U.S.C. § 1515,National Emergencies Act,"The President can suspend laws related to the production, transportation, testing, and disposal of chemical and biological warfare agents during a war or national emergency declared by Congress or the President.",National Emergencies Act,"Department of Homeland Security,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,"There must be an ongoing war or declared emergency under the NEA. The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ",Waiver,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
50 U.S.C. § 1701,National Emergencies Act,"The President can use the powers under the International Emergency Economic Powers Act (IEEPA) to address any major threat from outside the U.S. to national security, foreign policy, or the economy if a national emergency is declared.

",National Emergencies Act,POTUS or Executive Office of the President of the United States,NEA Emergency Declaration,"There must be a threat to U.S. national security caused by a declared national emergency. The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ","Waiver,Government Contracts",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,Yes,Allows for modifications to appropriations rules in times of national emergency.,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
50 U.S.C. § 1702,National Emergencies Act,"Donations of food, clothing, and medicine to relieve suffering are usually exempt from economic embargoes under IEEPA, unless the President decides that these donations would hinder handling the national emergency.

",National Emergencies Act,POTUS or Executive Office of the President of the United States,NEA Emergency Declaration,"There must be a threat to U.S. national security caused by a declared national emergency. The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ",Provision of Supplies,Not applicable,Both,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),*not sure about triggering event*,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
50 U.S.C. § 4309,National Emergencies Act,"The President can authorize the sale of property involved in legal claims related to national interest during a war or national emergency. The sale must follow a notice period of 30 days published in the Federal Register.

",National Emergencies Act,General Services Administration,NEA Emergency Declaration,"The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ",Government Contracts,Not applicable,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
